,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,correlation_0,correlation_45,correlation_90,correlation_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,contrast_0,contrast_45,contrast_90,contrast_135,label,ph,Location,Nitrogen Content    ( kg ha-1),Electrical Conductivity      (dSm-1),Organic Carbon (%)
907,58.66616393,59.70920928,58.81488865,61.04642831,0.386165091,0.367661436,0.389116497,0.345171043,0.020649146,0.021411104,0.020831576,0.020940228,5739.876075,5900.939805,5708.740499,6110.946625,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
908,57.97805907,58.84713028,57.22077945,60.46702917,0.431145061,0.411178178,0.441842699,0.391707435,0.021866765,0.02371263,0.023091514,0.020951496,5693.315845,5878.551902,5568.822683,6072.854968,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
909,55.1574109,57.27602386,54.90529813,56.13888485,0.400835439,0.363953024,0.41082883,0.383157221,0.022428574,0.021067436,0.023313218,0.022273598,5113.31782,5417.350404,5015.952137,5253.592584,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
910,58.56768112,59.81094057,59.01980963,61.02102277,0.377869388,0.356792437,0.376419936,0.336782212,0.02102079,0.020458967,0.020892867,0.019864451,5703.781542,5900.078926,5720.742978,6083.554266,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
911,50.28614777,51.31488688,49.93694325,52.19957082,0.427044138,0.40574815,0.436754703,0.391040176,0.024676668,0.023095724,0.024422365,0.023140628,4291.493186,4425.498454,4186.18935,4536.648287,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
912,57.28164108,59.34098349,56.8889727,58.58483669,0.397287161,0.365958967,0.407405349,0.372647318,0.021783133,0.020431414,0.022137586,0.021206932,5516.76023,5792.931949,5410.326365,5730.618917,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
913,57.30767573,60.00978395,57.37255747,58.39643195,0.424413218,0.38102635,0.430486191,0.406406364,0.02318479,0.020698096,0.02237519,0.022757482,5580.165778,5988.110933,5518.035668,5744.018131,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
914,60.09889577,61.35022187,60.43293822,62.60313159,0.383254086,0.362080881,0.383698831,0.342498517,0.021117539,0.01976299,0.019875165,0.019928812,6029.117084,6225.128319,6019.188111,6416.645323,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
915,54.7046234,56.27296865,54.30431034,55.77504183,0.367545562,0.338610901,0.377859711,0.343940564,0.021050534,0.020634653,0.021709576,0.02086307,4962.0734,5177.530407,4869.438829,5137.168291,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
916,57.78858066,59.01111152,57.34150503,59.54271841,0.372996234,0.348885507,0.383030038,0.344615874,0.020349485,0.020316381,0.021351693,0.019630676,5561.730838,5762.12961,5459.213129,5799.18555,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
